Provider,TotalClaims,InpatientClaims,OutpatientClaims,UniqueBeneficiaries,UniqueAttendPhysicians,AvgClaimAmt,TotalReimbursement,MaxClaimAmt,StdClaimAmt,AvgDeductible,TotalDeductible,ReimbursementPerClaim,DeductibleRatio,ReimbPerBeneficiary,ClaimsPerBeneficiary,InpatientRatio,HighCostClaimRatio,AvgClaimDuration,AvgHospitalStay,TotalHospitalDays,AvgNumDiagCodes,AvgNumProcCodes,AvgUniqueDiagCodes,AvgUniqueProcCodes,MaxDiagCodes,AvgPatientAge,MinPatientAge,MaxPatientAge,StdPatientAge,PctDeadPatients,AvgChronicCondCount,MaxChronicCondCount,PctHighChronicCond,RenalDiseaseRatio,Avg_ChronicCond_Alzheimer,Avg_ChronicCond_Heartfailure,Avg_ChronicCond_KidneyDisease,Avg_ChronicCond_Cancer,Avg_ChronicCond_Diabetes,Avg_ChronicCond_stroke,Avg_ChronicCond_Depression,ClaimAmt_Skewness,ClaimAmt_Kurtosis,ClaimAmt_CV,SharedPatientRatio,PctMaxDiagCodes,RepeatPatientRatio,AvgIPReimb,AvgOPReimb,AvgIPDeductible,AvgOPDeductible,AvgPartACovMonths,AvgPartBCovMonths,ClaimsPerPhysician,BenePerPhysician,PhysicianConcentration,PotentialFraud,FraudLabel
PRV51001,25,5,20,24,14,4185.6,104640,42000,10796.09114448373,213.6,5340.0,4024.6153846153848,0.05103162240422014,4185.6,1.0,0.19230769230769232,0.12,1.44,1.0,25.0,3.2,0.12,3.2,0.12,9,78.28,57,98,11.980957112573824,0.0,5.56,10,0.88,0.32,0.6,0.76,0.68,0.2,0.84,0.24,0.36,3.081276609614333,8.709413769356708,2.5793413475920173,0.52,0.0,0.041666666666666664,17606.0,2615.2,897.12,463.92,12.0,12.0,1.6666666666666667,1.6,0.10720000000000003,No,0
PRV51003,132,62,70,117,44,4588.409090909091,605670,57000,7309.79472874617,502.1666666666667,66286.0,4553.909774436091,0.10944225495359693,5132.796610169492,1.11864406779661,0.46616541353383456,0.10606060606060606,3.6742424242424243,2.4242424242424243,320.0,5.25,0.36363636363636365,5.25,0.36363636363636365,10,69.5530303030303,38,97,13.494875699185945,0.007575757575757576,4.545454545454546,10,0.6515151515151515,0.2196969696969697,0.42424242424242425,0.6060606060606061,0.48484848484848486,0.07575757575757576,0.7575757575757576,0.09090909090909091,0.4090909090909091,3.734435220406499,21.20425839253222,1.5931000448995065,0.6287878787878788,0.03787878787878788,0.11965811965811966,7568.181818181818,2678.181818181818,931.4242424242424,737.1212121212121,11.818181818181818,11.871212121212121,2.933333333333333,2.6,0.12959136822773182,Yes,1
PRV51004,149,0,149,138,38,350.13422818791946,52170,3300,689.9637540197714,2.0805369127516777,310.0,347.8,0.0059419984282455774,375.32374100719426,1.0719424460431655,0.0,0.10067114093959731,1.429530201342282,0.0,0.0,2.5838926174496644,0.0,2.5838926174496644,0.0,9,71.81208053691275,26,100,12.934538472902057,0.006711409395973154,4.342281879194631,9,0.5771812080536913,0.15436241610738255,0.42953020134228187,0.5906040268456376,0.33557046979865773,0.10738255033557047,0.7046979865771812,0.11409395973154363,0.4228187919463087,2.8917713504076406,8.071409212473597,1.9705692802118522,0.6510067114093959,0.0,0.057971014492753624,4351.879194630873,2194.8993288590605,434.9530201342282,622.751677852349,11.865771812080537,11.95973154362416,3.8205128205128207,3.5384615384615383,0.055628124859240555,No,0
PRV51005,1165,0,1165,495,6,241.1244635193133,280910,4080,491.556391867259,3.1759656652360513,3700.0,240.91766723842196,0.013171431521015553,566.3508064516129,2.348790322580645,0.0,0.09356223175965665,1.088412017167382,0.0,0.0,2.5888412017167384,0.0,2.586266094420601,0.0,10,70.00085836909871,28,100,13.350322053004083,0.0034334763948497852,4.335622317596567,9,0.6188841201716738,0.2223175965665236,0.36566523605150214,0.5836909871244635,0.4351931330472103,0.14163090128755365,0.6858369098712447,0.10643776824034334,0.41630901287553645,4.007320084025234,18.688636155569124,2.0386002510518733,0.26180257510729615,0.0008583690987124463,0.4505050505050505,3623.991416309013,2109.733905579399,379.16223175965666,636.3287553648069,11.907296137339056,11.939914163090128,166.42857142857142,70.71428571428571,0.18895967599434857,Yes,1
PRV51007,72,3,69,58,10,468.19444444444446,33710,10000,1433.7691157058027,45.333333333333336,3264.0,461.7808219178082,0.09682299546142209,571.3559322033898,1.2203389830508475,0.0410958904109589,0.09722222222222222,0.9583333333333334,0.2222222222222222,16.0,2.986111111111111,0.013888888888888888,2.986111111111111,0.013888888888888888,10,68.79166666666667,26,99,14.629641432745514,0.013888888888888888,4.166666666666667,8,0.5972222222222222,0.1527777777777778,0.3611111111111111,0.5555555555555556,0.3055555555555556,0.16666666666666666,0.6805555555555556,0.16666666666666666,0.4027777777777778,5.2697006535942155,30.597560081514086,3.0623368831384545,0.6666666666666666,0.013888888888888888,0.1896551724137931,3050.0,1729.7222222222222,445.0,469.72222222222223,11.833333333333334,11.833333333333334,6.545454545454546,5.2727272727272725,0.3294753086419753,No,0
PRV51008,43,2,41,36,10,828.6046511627907,35630,21000,3224.7654631552355,53.86046511627907,2316.0,809.7727272727273,0.06499957901827061,962.972972972973,1.162162162162162,0.045454545454545456,0.09302325581395349,1.5348837209302326,0.18604651162790697,8.0,3.1627906976744184,0.046511627906976744,3.1627906976744184,0.046511627906976744,10,75.04651162790698,29,99,12.216213832389768,0.0,3.9069767441860463,8,0.5813953488372093,0.23255813953488372,0.3953488372093023,0.5813953488372093,0.32558139534883723,0.20930232558139536,0.6976744186046512,0.046511627906976744,0.27906976744186046,6.125986247236886,38.85316552524261,3.891802270993763,0.4186046511627907,0.023255813953488372,0.19444444444444445,6592.093023255814,2570.4651162790697,620.9302325581396,616.046511627907,12.0,12.0,3.909090909090909,3.272727272727273,0.14548404542996213,No,0
PRV51011,58,1,57,53,28,286.7241379310345,16630,5000,701.0478070917784,23.586206896551722,1368.0,281.864406779661,0.08225602789970538,307.962962962963,1.0740740740740742,0.01694915254237288,0.08620689655172414,0.5517241379310345,0.08620689655172414,5.0,2.5344827586206895,0.0,2.5172413793103448,0.0,9,73.86206896551724,37,100,13.155544859737429,0.017241379310344827,4.586206896551724,9,0.6896551724137931,0.20689655172413793,0.43103448275862066,0.6379310344827587,0.43103448275862066,0.06896551724137931,0.7068965517241379,0.034482758620689655,0.5344827586206896,5.670442222215548,36.969038326477104,2.4450254246050114,0.5862068965517241,0.0,0.07547169811320754,4414.827586206897,1399.3103448275863,674.2758620689655,366.7241379310345,12.0,12.0,2.0,1.8275862068965518,0.04815695600475625,No,0
PRV51012,48,0,48,31,14,351.875,16890,3300,707.8936578689371,2.0833333333333335,100.0,344.6938775510204,0.005920312592504884,527.8125,1.5,0.0,0.10416666666666667,3.7083333333333335,0.0,0.0,2.5625,0.0,2.5625,0.0,8,74.02083333333333,42,97,10.468777455770077,0.0,4.625,8,0.6666666666666666,0.14583333333333334,0.375,0.5416666666666666,0.4583333333333333,0.125,0.7291666666666666,0.0625,0.3958333333333333,3.186132683027079,10.747017415546843,2.0117759370996104,0.5208333333333334,0.0,0.22580645161290322,6935.416666666667,3793.9583333333335,839.9166666666666,735.2083333333334,12.0,11.5,3.2,2.066666666666667,0.13263920325939346,No,0
PRV51013,46,0,46,44,9,323.4782608695652,14880,1800,471.622341339171,5.0,230.0,316.59574468085106,0.015455950540958269,330.6666666666667,1.0222222222222221,0.0,0.10869565217391304,1.4565217391304348,0.0,0.0,2.5434782608695654,0.0,2.5434782608695654,0.0,8,74.0,28,100,12.916827955982246,0.0,4.413043478260869,8,0.6521739130434783,0.2391304347826087,0.3695652173913043,0.5652173913043478,0.41304347826086957,0.08695652173913043,0.8043478260869565,0.043478260869565216,0.391304347826087,2.069319154915869,3.6836464957241755,1.457972291769812,0.717391304347826,0.0,0.045454545454545456,3635.6521739130435,3226.521739130435,593.304347826087,914.7826086956521,12.0,12.0,4.6,4.4,0.2911153119092628,No,0
PRV51014,30,0,30,25,7,349.3333333333333,10480,3300,822.984196996362,4.0,120.0,338.06451612903226,0.01144928918996279,403.0769230769231,1.1538461538461537,0.0,0.1,0.4666666666666667,0.0,0.0,3.6666666666666665,0.0,3.6666666666666665,0.0,10,70.63333333333334,39,100,15.203183272235963,0.03333333333333333,4.333333333333333,9,0.6333333333333333,0.26666666666666666,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.06666666666666667,0.6333333333333333,0.1,0.3333333333333333,3.378723515049464,10.706373706352482,2.3558707929217735,0.6,0.03333333333333333,0.16,2786.3333333333335,1742.3333333333333,427.2,649.3333333333334,12.0,12.0,3.75,3.125,0.17241379310344832,No,0
